UnitID,Institution Name,Number of undergraduate students awarded federal  state  local  institutional or other sources of grant aid (SFA2122_RV),Percent of undergraduate students awarded federal  state  local  institutional or other sources of grant aid (SFA2122_RV),Average amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA2122_RV),Average amount Pell grant aid awarded to undergraduate students (SFA2122_RV),Percent of undergraduates  who are formally registered as students with disabilities  when percentage is more than 3 percent (IC2021_RV),
215743,Saint Francis University,1608,63,25020,4877,,
215770,Saint Joseph's University,5212,93,25145,5008,6,
236452,Saint Martin's University,1238,91,30598,4949,10,
231059,Saint Michael's College,1412,99,32299,4672,19,
239716,Saint Norbert College,1907,98,25013,4500,20,
215798,Saint Vincent College,1375,96,29976,5251,5,
217536,Salve Regina University,2054,96,24548,4776,5,
227881,Sam Houston State University,14058,77,8466,4895,,
377218,School of Automotive Machinists & Technology,70,42,4488,4282,,
228042,Schreiner University,947,93,18741,5224,4,
236577,Seattle Pacific University,2505,95,23247,4707,8,
236595,Seattle University,4115,96,29599,5065,,
215947,Seton Hill University,1619,98,27208,4308,,
233541,Shenandoah University,2084,86,22883,4523,8,
237792,Shepherd University,1728,70,7090,4707,7,
216010,Shippensburg University of Pennsylvania,3728,76,7673,4600,,
216038,Slippery Rock University of Pennsylvania,6097,88,5984,4573,6,
399911,Soka University of America,435,100,37023,4889,,
218733,South Carolina State University,1788,86,13830,5269,6,
219347,South Dakota School of Mines and Technology,1553,75,6336,4544,7,
219356,South Dakota State University,8692,88,4636,4519,4,
216083,South Hills School of Business & Technology,216,79,10763,4680,,
417734,Southeast Missouri Hospital College of Nursing and Health Sciences,153,94,4951,4010,,
428170,Southeastern College-West Palm Beach,655,94,6181,5612,,
207847,Southeastern Oklahoma State University,2977,99,8909,4899,,
221661,Southern Adventist University,2263,94,12876,5134,,
228246,Southern Methodist University,4987,72,35270,4944,13,
210146,Southern Oregon University,1973,47,7068,4236,5,
230603,Southern Utah University,9211,76,9027,7448,5,
233611,Southern Virginia University,1153,98,11482,5329,,
217776,Southern Wesleyan University,876,84,16827,4498,6,
228468,Southwestern Adventist University,637,76,12406,5008,8,
228325,Southwestern Assemblies of God University,1325,87,10486,4664,,
207865,Southwestern Oklahoma State University,2904,77,8246,4955,,
228343,Southwestern University,1461,97,28809,5018,10,
218821,Spartanburg Methodist College,1025,98,17211,4979,5,
442426,St Louis College of Health Careers-Fenton,503,76,4409,4350,,
245652,St. John's College,359,98,26139,4944,9,
228149,St. Mary's University,2019,97,26675,5078,5,
446561,Stanbridge University,1518,58,9055,2854,,
243744,Stanford University,4827,63,56737,5071,24,
228431,Stephen F Austin State University,6491,63,8620,5195,4,
231095,Sterling College,108,86,28237,5191,,
228501,Sul Ross State University,1125,70,7694,5602,,
447953,SUM Bible College and Theological Seminary,244,57,5483,5306,,
208512,Sumner College,265,34,4161,4116,,
216278,Susquehanna University,2150,98,39912,4820,19,
216287,Swarthmore College,998,59,51095,5106,17,
233718,Sweet Briar College,438,97,13706,4846,16,
228529,Tarleton State University,8718,75,8286,5758,5,
216339,Temple University,20947,81,10943,4812,11,
221847,Tennessee Technological University,6629,80,9243,4653,5,
221731,Tennessee Wesleyan University,938,96,18284,5015,,
226152,Texas A & M International University,5595,81,8630,4937,,
228723,Texas A & M University-College Station,34685,61,10800,4977,5,
224554,Texas A & M University-Commerce,7438,98,6975,5238,4,
224147,Texas A & M University-Corpus Christi,6373,79,8015,5083,,
228705,Texas A & M University-Kingsville,3675,72,8714,5033,,
459949,Texas A&M University-San Antonio,5196,81,10164,4197,4,
224545,Texas A&M University-Texarkana,1442,81,8626,4830,,
228875,Texas Christian University,8167,80,28896,4963,13,
441487,Texas County Technical College,44,80,8008,5853,,
228981,Texas Lutheran University,1261,88,22936,4969,7,
229063,Texas Southern University,5563,97,9093,5007,,
228459,Texas State University,18586,56,8408,4790,4,
229115,Texas Tech University,22296,67,8856,5010,8,
229160,Texas Wesleyan University,1422,80,27556,5490,6,
229179,Texas Woman's University,7283,71,7495,4790,,
216296,Thaddeus Stevens College of Technology,1184,98,7293,4620,21,
437732,The Chicago School-College of Nursing,169,61,4133,3821,,
206589,The College of Wooster,1884,96,39475,5054,10,
235167,The Evergreen State College,1803,98,8110,4957,16,
454184,The King's College,351,91,25120,4466,7,
439701,The King's University,270,90,4892,4117,,
205391,The Modern College of Design,154,79,6536,4048,,
206394,The North Coast College,39,89,7695,5267,,
220701,The University of Tennessee Southern,845,99,7430,5051,,
221740,The University of Tennessee-Chattanooga,8072,81,9159,4943,,
