instnm,FIPS state code (HD2023),State abbreviation (HD2023),Full-time undergraduate students are enrolled (IC2023),Full time first-time degree/certificate-seeking undergraduate students enrolled (IC2023),Member of National Collegiate Athletic Association (NCAA) (IC2023),NCAA/NAIA member for football (IC2023),NCAA/NAIA member for basketball (IC2023),NCAA/NAIA member for baseball (IC2023),NCAA/NAIA member for cross country/track (IC2023),Open admission policy (IC2023),Total price for in-state students living on campus 2023-24 (DRVIC2023),Total price for out-of-state students living on campus 2023-24 (DRVIC2023),Percent admitted - total (DRVADM2023),Admissions yield - total (DRVADM2023),Full-time retention rate  2023 (EF2023D),Undergraduate enrollment (DRVEF2023),Graduation rate  total cohort (DRVGR2023),Percent of full-time first-time undergraduates awarded any financial aid (SFA2223),Percent of full-time first-time undergraduates awarded institutional grant aid (SFA2223),Admission test scores (ADM2023),Applicants total (ADM2023),Admissions total (ADM2023),Enrolled full time total (ADM2023),Percent of first-time degree/certificate-seeking students submitting SAT scores (ADM2023),Published out-of-state tuition and fees 2023-24 (IC2023_AY),Books and supplies 2023-24 (IC2023_AY),Published in-state tuition and fees 2023-24 (IC2023_AY),In-state average tuition for full-time undergraduates (IC2023_AY),Out-of-state average tuition for full-time undergraduates (IC2023_AY),Number of programs offered (IC2023_PY),Books and supplies 2023-24 (IC2023_PY),Full time total (EF2023  All students  Undergraduate total),Full time men (EF2023  All students  Undergraduate total),Full time women (EF2023  All students  Undergraduate total)
Pima Medical Institute-Renton,53,WA,1,1,0,2,2,2,2,1,,,,,88,400,61,83,0,,,,,,,,,,,9,867,400,54,346
Pima Medical Institute-San Antonio,48,TX,1,1,0,2,2,2,2,1,,,,,66,341,62,83,0,,,,,,,,,,,7,878,341,60,281
Pima Medical Institute-San Marcos,6,CA,1,1,0,2,2,2,2,1,,,,,91,630,58,69,4,,,,,,,,,,,10,878,630,158,472
Pima Medical Institute-Seattle,53,WA,1,1,0,2,2,2,2,1,,,,,76,450,53,100,1,,,,,,,,,,,9,867,450,102,348
Pima Medical Institute-Tucson,4,AZ,1,1,0,2,2,2,2,1,,,,,,2619,73,86,16,,,,,,,,,,,21,2111,2619,560,2059
Pine Technical & Community College,27,MN,1,1,0,2,2,2,2,1,,,,,65,1913,40,99,3,,,,,,4681,2500,4681,4178,4178,,,443,224,219
Pinellas Technical College-Clearwater,12,FL,1,1,-2,2,2,2,2,1,,,,,54,1018,58,52,13,,,,,,,,,,,28,2297,578,374,204
Pinellas Technical College-St. Petersburg,12,FL,1,1,-2,2,2,2,2,1,,,,,59,1421,53,59,15,,,,,,,,,,,35,2015,811,468,343
Pineville Beauty School,22,LA,1,1,-2,-2,-2,-2,-2,1,,,,,83,45,44,67,17,,,,,,,,,,,4,750,45,0,45
Pinnacle Career Institute,29,MO,1,1,0,2,2,2,2,1,,,,,59,488,56,80,4,,,,,,,,,,,4,0,488,459,29
Pinnacle Institute of Cosmetology,37,NC,1,1,-2,-2,-2,-2,-2,1,,,,,67,55,40,81,0,,,,,,,,,,,3,2500,55,0,55
Pioneer Career and Technology Center,39,OH,2,2,-2,-2,-2,-2,-2,1,,,,,,68,,,,,,,,,,,,,,5,,,,
Pioneer Technology Center,40,OK,1,1,-2,-2,-2,-2,-2,1,,,,,77,410,72,77,37,,,,,,,,,,,29,1000,86,22,64
Pipo Academy of Hair Design,48,TX,1,1,-2,-2,-2,-2,-2,1,,,,,45,11,0,75,0,,,,,,,,,,,1,900,11,1,10
PITC Institute,42,PA,1,1,0,2,2,2,2,1,,,,,55,113,33,100,0,,,,,,,,,,,1,1220,113,11,102
Pitt Community College,37,NC,1,1,0,2,2,2,2,1,,,,,59,7371,28,85,31,,,,,,6580,1500,1972,1824,6432,,,2493,1030,1463
Pittsburg State University,20,KS,1,1,1,1,1,1,1,2,24002,35686,88,35,78,4426,58,90,59,5,2856,2518,871,0,19692,1200,8008,6128,17472,,,3903,1951,1952
Pittsburgh Institute of Aeronautics,42,PA,1,1,0,2,2,2,2,1,,,,,78,591,59,74,5,,,,,,17725,1009,17725,16995,16995,,,591,551,40
Pittsburgh Institute of Mortuary Science Inc,42,PA,1,1,0,2,2,2,2,2,,,49,60,74,402,92,80,30,3,98,48,22,,,,,,,3,1500,93,16,77
Pittsburgh Technical College,42,PA,1,1,0,2,2,2,2,1,40808,40808,,,92,864,53,100,100,,,,,,18980,2325,18980,15380,15380,,,695,438,257
Pittsburgh Theological Seminary,42,PA,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
Pitzer College,6,CA,1,1,1,1,1,1,1,2,86466,86466,17,48,94,1204,83,39,36,3,3464,577,275,,62692,1100,62692,62392,62392,,,1175,472,703
Pivot Point Academy,17,IL,1,1,-2,-2,-2,-2,-2,1,,,,,96,113,81,91,0,,,,,,,,,,,4,3995,113,17,96
PJ's College of Cosmetology-Bowling Green,21,KY,1,1,-2,-2,-2,-2,-2,1,,,,,32,285,66,90,0,,,,,,,,,,,4,2600,246,5,241
PJ's College of Cosmetology-Clarksville,18,IN,1,1,-2,-2,-2,-2,-2,1,,,,,43,222,59,96,0,,,,,,,,,,,3,2600,137,1,136
PJ's College of Cosmetology-Glasgow,21,KY,1,1,-2,-2,-2,-2,-2,1,,,,,40,43,53,100,0,,,,,,,,,,,4,2600,43,1,42
PJ's College of Cosmetology-Richmond,18,IN,1,1,-2,-2,-2,-2,-2,1,,,,,44,71,67,100,0,,,,,,,,,,,4,2600,50,1,49
Platt College-Anaheim,6,CA,1,1,0,2,2,2,2,1,,,,,,405,62,92,17,,,,,,14804,1123,14804,14804,14804,,,405,57,348
Platt College-Aurora,8,CO,1,1,0,2,2,2,2,2,,,36,100,83,215,20,100,0,5,11,4,4,0,20590,2310,20590,17920,17920,,,215,25,190
Platt College-Los Angeles,6,CA,1,1,0,2,2,2,2,1,,,,,,598,62,90,31,,,,,,14804,1123,14804,14804,14804,,,598,123,475
Platt College-Ontario,6,CA,1,1,0,2,2,2,2,1,,,,,,467,57,91,5,,,,,,14804,1123,14804,14804,14804,,,467,83,384
Platt College-Riverside,6,CA,1,1,0,2,2,2,2,1,,,,,,416,56,97,18,,,,,,14804,1123,14804,14804,14804,,,416,63,353
Platt College-San Diego,6,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plaza College,36,NY,1,1,0,2,2,2,2,2,,,30,55,,846,63,97,10,3,1410,423,233,,15450,1700,15450,14000,14000,,,829,164,665
Plymouth State University,33,NH,1,1,1,1,1,1,1,2,30854,41794,91,15,71,3336,47,100,99,3,7421,6755,982,,25498,1410,14558,11870,22810,,,3247,1689,1558
PMCA Pittsburgh Multicultural Cosmetology Academy,42,PA,1,1,-2,-2,-2,-2,-2,1,,,,,100,16,67,100,25,,,,,,,,,,,3,2835,15,0,15
Point Loma Nazarene University,6,CA,1,1,1,2,1,1,1,2,60868,60868,82,26,86,3158,74,95,93,5,3065,2506,657,10,43550,938,43550,42600,42600,,,2746,937,1809
Point Park University,42,PA,1,1,0,2,1,1,1,2,54180,54180,98,10,71,2323,60,100,100,5,5291,5179,518,24,38160,1200,38160,36240,36240,,,2110,748,1362
Point University,13,GA,1,1,0,1,1,1,1,2,35400,35400,68,49,71,2617,40,98,93,5,3250,2194,259,4,22300,2000,22300,21150,21150,,,1012,537,475
Polaris Career Center,39,OH,1,1,-2,-2,-2,-2,-2,1,,,,,84,230,86,100,0,,,,,,,,,,,13,310,53,36,17
Polk State College,12,FL,1,1,0,2,2,2,2,1,,,,,,7963,34,84,7,,,,,,12272,2000,3366,2483,9933,,,2683,955,1728
Polytech Adult Education,10,DE,1,1,-2,-2,-2,-2,-2,1,,,,,100,631,100,100,0,,,,,,,,,,,27,150,42,5,37
Polytechnic University of Puerto Rico-Miami,12,FL,1,1,0,2,2,2,2,1,,,,,,29,0,,,,,,,,14082,2463,14082,13032,13032,,,,,
Polytechnic University of Puerto Rico-Orlando,12,FL,1,1,0,2,2,2,2,1,,,,,20,102,8,80,20,,,,,,14262,2775,14262,13212,13212,,,31,21,10
Pomeroy College of Nursing at Crouse Hospital,36,NY,1,1,0,2,2,2,2,2,,,40,0,80,179,69,100,100,3,10,4,,,19228,1450,19228,16328,16328,,,43,10,33
Pomona College,6,CA,1,1,1,1,1,1,1,2,85300,85300,7,50,96,1664,93,64,56,5,12121,819,408,29,62326,1100,62326,61906,61906,,,1646,738,908
Pomona Unified School District Adult and Career Education,6,CA,1,1,-2,-2,-2,-2,-2,1,,,,,26,104,82,75,2,,,,,,,,,,,7,1275,84,27,57
Ponca City Beauty College,40,OK,1,1,-2,-2,-2,-2,-2,1,,,,,100,48,76,91,0,,,,,,,,,,,4,1400,48,6,42
Ponce Health Sciences University-St Louis,29,MO,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
Pontifex University,13,GA,2,2,0,2,2,2,2,-2,,,,,,,,,,,,,,,,,,,,,,,,
Pontifical College Josephinum,39,OH,1,1,0,2,2,2,2,2,49085,49085,83,80,100,45,27,0,0,5,6,5,4,25,27829,1800,27829,29000,29000,,,45,45,0
Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,11,DC,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
Pontifical John Paul II Institute for Studies on Marriage and Family,11,DC,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
Pontotoc Technology Center,40,OK,1,1,-2,-2,-2,-2,-2,1,,,,,100,341,82,86,12,,,,,,,,,,,24,1296,61,36,25
Pope St John XXIII National Seminary,25,MA,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
Poplar Bluff Technical Career Center,29,MO,1,1,-2,-2,-2,-2,-2,1,,,,,5,14,82,96,0,,,,,,,,,,,10,1625,14,3,11
Port Huron Cosmetology College,26,MI,1,1,-2,-2,-2,-2,-2,1,,,,,93,52,68,17,0,,,,,,,,,,,4,1500,36,0,36
Portage Lakes Career Center,39,OH,1,1,-2,-2,-2,-2,-2,1,,,,,82,217,69,62,7,,,,,,,,,,,10,,180,41,139
Porter & Chester Institute,9,CT,1,1,-2,-2,-2,-2,-2,1,,,,,61,1405,49,96,91,,,,,,14349,2040,14349,15550,15550,,,1199,729,470
Porter & Chester Institute of Hamden,9,CT,1,1,-2,-2,-2,-2,-2,1,,,,,65,333,43,75,9,,,,,,14337,2053,14337,14576,14576,,,306,176,130
Porterville College,6,CA,1,1,0,2,2,2,2,1,,,,,67,4939,29,96,5,,,,,,10289,938,1409,1380,10260,,,1472,600,872
Portland Actors Conservatory,41,OR,1,1,-2,2,2,2,2,2,,,67,0,100,13,100,100,100,3,3,2,,,12115,100,12115,11750,11750,,,13,8,5
Portland Community College,41,OR,1,1,0,2,2,2,2,1,,,,,63,20033,18,66,0,,,,,,10080,1710,5040,4608,9648,,,8116,3706,4410
Portland State University,41,OR,1,1,1,1,1,1,1,2,28023,46923,91,20,75,15960,53,88,55,5,8877,8070,1444,1,30138,798,11238,8694,26334,,,10418,4446,5972
Post University,9,CT,1,1,1,1,1,1,1,1,33560,33560,,,32,19575,35,97,18,,,,,,17100,1200,17100,15834,15834,,,7117,1807,5310
Potomac State College of West Virginia University,54,WV,1,1,0,2,2,2,2,1,21060,28644,,,60,1143,26,97,76,,,,,,12624,950,5040,5040,12624,,,866,381,485
Poway Adult School,6,CA,2,2,-2,-2,-2,-2,-2,1,,,,,,153,,,,,,,,,,,,,,,,,,
Prairie State College,17,IL,1,1,0,2,2,2,2,1,,,,,55,3045,19,74,11,,,,,,11064,2500,9342,8610,10332,,,893,375,518
Prairie View A & M University,48,TX,1,1,1,1,1,1,1,2,27798,43373,75,32,74,8527,43,97,63,1,8777,6609,2020,85,26874,1571,11299,7387,22590,,,7862,2548,5314
Pratt Community College,20,KS,1,1,0,2,2,2,2,1,20116,20664,,,62,1153,43,97,76,,,,,,4712,3000,4164,2240,2688,,,582,365,217
Pratt Institute-Main,36,NY,1,1,1,2,1,2,1,2,80993,80993,53,18,89,3814,73,83,72,5,8281,4403,779,16,59683,2100,59683,57659,57659,,,3721,1043,2678
Praxis Institute,12,FL,1,1,-2,-2,-2,-2,-2,1,,,,,,440,81,95,66,,,,,,,,,,,3,200,440,211,229
Premier Academy of Cosmetology,40,OK,1,1,-2,-2,-2,-2,-2,1,,,,,86,40,52,96,0,,,,,,,,,,,3,2500,29,0,29
Premier Barber Institute,42,PA,1,1,-2,-2,-2,-2,-2,1,,,,,100,83,50,96,0,,,,,,,,,,,3,1570,83,68,15
Premier Barber School,48,TX,1,1,-2,-2,-2,-2,-2,1,,,,,94,48,79,28,0,,,,,,,,,,,1,1200,29,22,7
Premiere Aesthetics Institute,41,OR,1,1,-2,-2,-2,-2,-2,1,,,,,,52,86,81,0,,,,,,,,,,,1,1496,21,0,21
Premiere Aesthetics Institute-Meridian,16,ID,1,1,-2,-2,-2,-2,-2,1,,,,,,36,100,14,0,,,,,,,,,,,1,1496,25,0,25
Premiere Career College,6,CA,1,1,0,2,2,2,2,1,,,,,77,106,45,73,0,,,,,,,,,,,5,2830,106,30,76
Premiere International College,12,FL,1,1,0,2,2,2,2,1,,,,,,106,100,,,,,,,,21125,1950,21125,19375,19375,,,106,18,88
Presbyterian College,45,SC,1,1,1,1,1,1,1,2,60509,60509,72,11,74,903,62,100,100,5,3359,2430,265,18,43300,1500,43300,40200,40200,,,866,445,421
Presbyterian Theological Seminary in America,6,CA,1,1,0,2,2,2,2,1,,,,,,38,80,,,,,,,,8839,1300,8839,8206,8206,,,17,8,9
Prescott College,4,AZ,1,1,0,2,2,2,2,2,48561,48561,99,17,75,257,36,100,97,3,140,138,23,,35685,440,35685,33960,33960,,,202,76,126
Presentation College,46,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Presidio Graduate School,6,CA,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
Prestige Health & Beauty Sciences Academy,12,FL,1,1,-2,-2,-2,-2,-2,1,,,,,86,41,88,0,0,,,,,,,,,,,8,500,41,1,40
Prince George's Community College,24,MD,1,1,0,2,2,2,2,1,,,,,58,10513,25,69,24,,,,,,8642,1500,6194,5016,7464,,,3025,1244,1781
Princess Institute of Beauty,6,CA,1,1,-2,-2,-2,-2,-2,1,,,,,75,41,86,74,0,,,,,,,,,,,3,2115,41,1,40
Princeton Theological Seminary,34,NJ,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
Princeton University,34,NJ,1,1,1,1,1,1,1,2,84040,84040,4,77,97,5671,97,61,60,5,39644,1782,1366,57,59710,1050,59710,59710,59710,,,5598,2759,2839
Principia College,17,IL,1,1,1,2,1,1,1,2,48650,48650,44,71,75,338,76,90,90,5,268,119,84,38,33280,1000,33280,32250,32250,,,332,197,135
Prism Career Institute-Cherry Hill,34,NJ,1,1,-2,-2,-2,-2,-2,1,,,,,83,328,44,72,0,,,,,,,,,,,2,2634,328,29,299
Prism Career Institute-Philadelphia,42,PA,1,1,-2,-2,-2,-2,-2,2,,,100,52,73,406,41,75,0,3,69,69,36,,,,,,,2,2493,406,29,377
Prism Career Institute-West Atlantic City,34,NJ,1,1,-2,-2,-2,-2,-2,1,,,,,75,273,42,77,0,,,,,,,,,,,2,2634,273,13,260
Pro Beauty Academy,34,NJ,1,1,-2,-2,-2,-2,-2,1,,,,,100,100,63,40,0,,,,,,,,,,,6,1559,46,1,45
Pro Way Hair School,13,GA,1,1,-2,-2,-2,-2,-2,1,,,,,70,54,63,100,0,,,,,,,,,,,2,125,54,43,11
Professional Culinary Academy,36,NY,1,1,-2,-2,-2,-2,-2,1,,,,,,17,65,100,0,,,,,,,,,,,1,500,17,12,5
Professional Golfers Career College,6,CA,1,1,0,2,2,2,2,1,,,,,43,110,40,54,0,,,,,,18310,500,18310,15160,15160,,,110,104,6
Professional Institute of Beauty,6,CA,1,1,-2,-2,-2,-2,-2,1,,,,,85,90,64,74,0,,,,,,,,,,,3,1025,89,4,85
Professional Skills Institute,39,OH,1,1,0,2,2,2,2,2,,,71,42,50,402,67,93,0,3,168,120,50,,14920,1359,14920,14920,14920,,,402,29,373
Professional's Choice Hair Design Academy,17,IL,1,1,-2,-2,-2,-2,-2,1,,,,,86,58,92,71,0,,,,,,,,,,,2,1456,41,1,40
Profile Institute of Barber-Styling,13,GA,1,1,-2,-2,-2,-2,-2,1,,,,,22,26,89,94,0,,,,,,,,,,,2,850,26,24,2
Protege Academy,26,MI,1,1,-2,-2,-2,-2,-2,1,,,,,57,68,67,76,0,,,,,,,,,,,3,1900,68,0,68
Protege Academy,26,MI,1,1,-2,-2,-2,-2,-2,1,,,,,73,33,67,93,0,,,,,,,,,,,3,1900,33,0,33
Providence Christian College,6,CA,1,1,0,2,2,1,1,2,55142,55142,93,28,82,147,53,100,100,3,107,99,27,,35147,1200,35147,34322,34322,,,142,78,64
Providence College,44,RI,1,1,1,2,1,2,1,2,80640,80640,49,20,91,4191,88,83,82,5,12469,6075,1191,22,60848,1150,60848,59830,59830,,,4081,1868,2213
Provo College,49,UT,1,1,0,2,2,2,2,1,,,,,76,705,64,91,0,,,,,,16491,,16491,16491,16491,,,705,98,607
Provo College-Idaho Falls Campus,16,ID,1,1,0,2,2,2,2,1,,,,,25,249,,89,0,,,,,,18645,,18645,18645,18645,,,249,32,217
Pueblo Community College,8,CO,1,1,0,2,2,2,2,1,,,,,,6767,37,87,1,,,,,,17116,1460,4883,3941,16174,,,1634,705,929
Purdue University Fort Wayne,18,IN,1,1,1,2,1,1,1,2,26302,39268,86,25,64,8110,32,99,63,5,6466,5539,1328,66,22220,2940,9254,8049,21015,,,4607,2391,2216
Purdue University Global,18,IN,1,1,0,2,2,2,2,1,,,,,25,31791,48,80,20,,,,,,14421,,10110,10080,13356,,,5514,2079,3435
Purdue University Northwest,18,IN,1,1,1,2,1,1,1,2,22326,29527,71,26,68,7902,44,92,68,5,6394,4516,1169,67,15620,598,8419,7259,14144,,,4668,2328,2340
Purdue University-Main Campus,18,IN,1,1,1,1,1,1,1,2,24882,43684,50,26,92,39864,83,60,35,1,73083,36763,9295,73,28794,1030,9992,9718,28520,,,37678,21838,15840
Pure Aesthetics Natural Skincare School,4,AZ,1,1,-2,-2,-2,-2,-2,1,,,,,,53,100,70,0,,,,,,,,,,,4,2083,27,0,27
Putnam Career and Technical Center,54,WV,1,1,-2,-2,-2,-2,-2,1,,,,,100,32,67,50,0,,,,,,,,,,,3,500,32,9,23
Queen City College,47,TN,1,1,-2,-2,-2,-2,-2,1,,,,,100,127,94,,,,,,,,,,,,,6,1650,125,63,62
Queens University of Charlotte,37,NC,1,1,1,2,1,1,1,2,67390,67390,68,14,76,1373,66,99,99,5,4357,2949,399,17,43285,2000,43285,40790,40790,,,1324,495,829
Quincy College,25,MA,1,1,0,2,2,2,2,1,,,,,88,2603,17,60,8,,,,,,7536,2000,7536,6360,6360,,,926,462,464
Quincy University,17,IL,1,1,1,1,1,1,1,2,50800,50800,50,30,64,1130,43,100,99,5,2197,1096,327,20,35740,,35740,35740,35740,,,1011,584,427
Quinebaug Valley Community College,9,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinnipiac University,9,CT,1,1,1,2,1,1,1,2,73320,73320,77,11,87,6248,77,100,100,5,21323,16418,1793,28,53090,1100,53090,50400,50400,,,6070,2386,3684
Quinsigamond Community College,25,MA,1,1,0,2,2,2,2,1,,,,,63,6930,21,76,13,,,,,,10918,960,5974,576,5520,,,1951,909,1042
Rabbi Jacob Joseph School,34,NJ,1,1,0,2,2,2,2,2,22600,22600,90,100,91,96,4,75,72,3,31,28,28,,12700,300,12700,12450,12450,,,96,96,0
Rabbinical Academy Mesivta Rabbi Chaim Berlin,36,NY,1,1,0,2,2,2,2,2,20400,20400,100,100,84,160,19,98,93,3,40,40,40,,10800,300,10800,10800,10800,,,160,160,0
Rabbinical College Beth Shraga,36,NY,1,1,0,2,2,2,2,2,29150,29150,93,100,77,48,45,62,54,3,27,25,25,,16150,300,16150,15800,15800,,,48,48,0
Rabbinical College Bobover Yeshiva Bnei Zion,36,NY,1,1,0,2,2,2,2,1,20780,20780,,,98,436,97,97,0,,,,,,10000,480,10000,10000,10000,,,436,436,0
Rabbinical College of America,34,NJ,1,1,0,2,2,2,2,2,27300,27300,87,87,88,197,18,92,76,3,70,61,53,,13000,300,13000,13000,13000,,,197,197,0
Rabbinical College of Long Island,36,NY,1,1,0,2,2,2,2,2,21600,21600,100,100,86,161,34,73,57,3,45,45,45,,10290,300,10290,9790,9790,,,161,161,0
Rabbinical College of Ohr Shimon Yisroel,36,NY,1,1,0,2,2,2,2,1,27850,27850,,,60,233,40,100,100,,,,,,21850,300,21850,22500,22500,,,233,233,0
Rabbinical College Ohr Yisroel,36,NY,1,1,0,2,2,2,2,1,15850,15850,,,86,116,52,46,0,,,,,,9000,350,9000,9000,9000,,,116,116,0
Rabbinical College Telshe,39,OH,1,1,0,2,2,2,2,2,25000,25000,81,62,88,57,53,74,59,3,36,29,18,,17900,600,17900,17800,17800,,,57,57,0
Rabbinical Seminary Mkor Chaim,34,NJ,1,1,0,2,2,2,2,2,17750,17750,100,100,96,81,25,89,89,3,31,31,31,,8450,300,8450,8300,8300,,,81,81,0
Rabbinical Seminary of America,36,NY,1,1,0,2,2,2,2,2,19700,19700,98,98,82,379,34,81,81,3,122,119,117,,10000,300,10000,10000,10000,,,379,379,0
Radford M Locklin Technical College,12,FL,1,1,-2,2,2,2,2,1,,,,,74,410,68,88,14,,,,,,,,,,,15,907,166,127,39
Radford University,51,VA,1,1,1,2,1,1,1,2,29171,42070,91,11,73,5704,50,99,98,5,11072,10036,1101,19,25185,1260,12286,8401,20853,,,5176,1867,3309
Ralph R Willis Career and Technical Center,54,WV,1,1,-2,-2,-2,-2,-2,1,,,,,20,28,88,100,0,,,,,,,,,,,1,3162,28,7,21
Ramapo College of New Jersey,34,NJ,1,1,1,2,1,1,1,2,34750,45160,73,18,87,5013,72,84,54,5,7553,5530,1007,5,26388,1226,15978,15978,26388,,,4393,1847,2546
Rancho Santiago Community College District Office,6,CA,-2,-2,-2,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,
Randall University,40,OK,1,1,0,2,2,2,2,2,30338,30338,45,68,57,281,21,100,100,5,183,82,53,18,17322,,17322,12060,12060,,,240,156,84
Randolph College,51,VA,1,1,1,2,1,2,1,2,45040,45040,95,11,68,541,51,100,100,5,1935,1837,200,5,29010,1240,29010,28330,28330,,,523,207,316
Randolph Community College,37,NC,1,1,0,2,2,2,2,1,,,,,78,2648,54,77,16,,,,,,8176,1460,2416,2280,8040,,,603,215,388
Randolph Technical Center,54,WV,1,1,-2,-2,-2,-2,-2,1,,,,,0,11,73,100,0,,,,,,,,,,,1,3423,11,0,11
Randolph-Macon College,51,VA,1,1,1,1,1,1,2,2,65182,65182,83,20,81,1500,75,100,99,5,2620,2185,430,32,48002,1000,48002,46278,46278,,,1460,664,796
Ranger College,48,TX,1,1,0,2,2,2,2,1,17039,19289,,,52,2498,35,85,34,,,,,,8775,1800,6525,3700,6150,,,870,401,469
Ranken Technical College,29,MO,1,1,0,2,2,2,2,1,34978,34978,,,,1696,51,82,60,,,,,,17490,2500,17490,16200,16200,,,1248,1132,116
Raphael's School of Beauty Culture Inc-Alliance,39,OH,1,1,-2,2,2,2,2,1,,,,,84,410,59,83,44,,,,,,,,,,,5,3140,410,8,402
Raphael's School of Beauty Culture Inc-Boardman,39,OH,1,1,-2,2,2,2,2,1,,,,,79,131,77,76,60,,,,,,,,,,,6,3140,103,0,103
Raphael's School of Beauty Culture Inc-Brunswick,39,OH,1,1,-2,2,2,2,2,1,,,,,79,81,61,61,32,,,,,,,,,,,5,1850,81,0,81
Raphael's School of Beauty Culture Inc-Niles,39,OH,1,1,-2,2,2,2,2,1,,,,,94,145,50,83,68,,,,,,,,,,,6,2640,134,45,89
Rappahannock Community College,51,VA,1,1,0,2,2,2,2,1,,,,,56,2767,40,75,46,,,,,,10961,1400,4958,4758,10056,,,615,232,383
Raritan Valley Community College,34,NJ,1,1,0,2,2,2,2,1,,,,,70,6587,35,53,6,,,,,,7440,2400,7440,6240,6240,,,2747,1455,1292
Rasmussen University-Florida,12,FL,1,1,0,2,2,2,2,1,,,,,67,3034,51,95,24,,,,,,15117,70,15117,13452,13452,,,1393,208,1185
Rasmussen University-Illinois,17,IL,1,1,0,2,2,2,2,1,,,,,45,1332,40,94,18,,,,,,13546,45,13546,13400,13400,,,449,39,410
Rasmussen University-Kansas,20,KS,1,1,0,2,2,2,2,1,,,,,,333,50,96,21,,,,,,15340,32,15340,13137,13137,,,185,19,166
Rasmussen University-Minnesota,27,MN,1,1,0,2,2,2,2,1,,,,,100,8054,53,96,26,,,,,,10899,71,10899,10207,10207,,,4122,620,3502
Rasmussen University-North Dakota,38,ND,1,1,0,2,2,2,2,1,,,,,,44,58,91,36,,,,,,12715,108,12715,10957,10957,,,32,8,24
Rasmussen University-Wisconsin,55,WI,1,1,0,2,2,2,2,1,,,,,100,154,63,100,37,,,,,,11982,122,11982,12058,12058,,,79,6,73
Ravenscroft Beauty College,18,IN,1,1,-2,-2,-2,-2,-2,1,,,,,88,114,60,92,0,,,,,,,,,,,5,1600,57,3,54
Ray J's College of Hair,22,LA,1,1,-2,-2,-2,-2,-2,1,,,,,83,34,77,100,0,,,,,,,,,,,1,1300,16,14,2
Reach University,6,CA,1,1,0,2,2,2,2,2,,,99,71,69,1226,,100,100,3,117,116,82,,12374,1200,12374,12374,12374,,,1158,64,1094
Reading Area Community College,42,PA,1,1,0,2,2,2,2,1,,,,,64,4788,26,86,29,,,,,,12030,1800,10890,9120,10260,,,892,360,532
Reading Hospital School of Health Sciences,42,PA,1,1,-2,2,2,2,2,2,33223,33223,20,100,89,270,28,89,0,3,98,20,17,,11915,1210,11915,11643,11643,,,204,35,169
Reconstructionist Rabbinical College,42,PA,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
Red Lake Nation College,27,MN,1,1,0,2,2,2,2,1,,,,,63,256,48,93,30,,,,,,6640,1385,6640,5790,5790,,,175,48,127
Red River Technology Center,40,OK,1,1,-2,-2,-2,-2,-2,1,,,,,62,518,53,87,67,,,,,,,,,,,17,,36,6,30
Red Rocks Community College,8,CO,1,1,0,2,2,2,2,1,,,,,100,7286,37,51,1,,,,,,16947,1460,4707,3936,16176,,,1904,1010,894
Redeemers University North America,48,TX,1,1,0,2,2,2,2,2,,,92,0,,24,,0,0,5,13,12,,,6800,500,6800,6000,6000,,,24,13,11
Redlands Community College,40,OK,1,1,0,2,2,2,2,1,16749,19315,,,56,1895,34,95,77,,,,,,7951,1500,5385,4645,7211,,,515,242,273
Redondo Beach Beauty College,6,CA,1,1,-2,-2,-2,-2,-2,1,,,,,100,52,100,0,0,,,,,,,,,,,6,1730,52,4,48
Reed College,41,OR,1,1,0,2,2,2,2,2,86540,86540,27,13,86,1439,76,61,54,5,10045,2728,351,48,67020,1050,67020,66710,66710,,,1404,584,820
Reedley College,6,CA,1,1,0,2,2,2,2,1,17920,26040,,,65,8174,42,93,1,,,,,,9454,1980,1334,1288,9408,,,2022,1082,940
Reflections Academy of Beauty,17,IL,1,1,-2,-2,-2,-2,-2,1,,,,,40,29,52,100,0,,,,,,,,,,,4,2300,29,0,29
Reformed University,13,GA,1,1,0,2,2,2,2,2,,,73,79,75,287,50,0,0,3,79,58,46,,5360,750,5360,4800,4800,,,282,123,159
Refrigeration School Inc,4,AZ,1,1,0,2,2,2,2,1,,,,,81,1296,75,93,52,,,,,,,,,,,5,3940,1296,1165,131
Regan Career Institute,6,CA,1,1,0,2,2,2,2,1,,,,,,51,100,100,0,,,,,,,,,,,4,2885,51,12,39
